TH;3.99;EN;3.01;LE;2.60;EN;4.87
HE;3.65;DE;2.77;EN;2.45;ER;4.18
AN;2.17;ER;2.25;ES;2.43;CH;3.58
ER;2.11;ES;2.20;DE;2.31;DE;2.54
IN;2.10;UE;2.03;RE;2.06;EI;2.44
RE;1.64;LA;1.91;AI;1.94;IE;2.15
ND;1.62;RA;1.83;OU;1.92;IN;2.14
OU;1.41;OS;1.73;NT;1.87;TE;2.09
EN;1.37;NT;1.68;ON;1.69;GE;1.88
ON;1.36;TE;1.55;ER;1.40;UN;1.69
ED;1.29;AR;1.54;UR;1.38;ND;1.68
TO;1.24;QU;1.44;AN;1.33;IC;1.49
IT;1.24;EL;1.40;IT;1.33;ES;1.38
AT;1.17;TA;1.38;TE;1.29;BE;1.37
HA;1.17;DO;1.35;ET;1.28;HE;1.30
VE;1.11;CO;1.31;ME;1.23;ST;1.29
AS;1.09;RE;1.29;LA;1.23;NE;1.28
OR;1.09;AS;1.28;IS;1.22;AN;1.26
HI;1.07;ON;1.15;QU;1.15;RE;1.11
AR;1.06;AN;1.15;SE;1.03;SE;1.10
TE;1.00;TO;1.11;IL;1.00;DI;1.06
ES;1.00;LO;1.10;UE;0.98;SC;0.99
NG;0.99;ST;1.09;US;0.97;AU;0.93
IS;0.99;UN;1.07;EU;0.95;NG;0.90
ST;0.96;OR;1.04;CO;0.95;SI;0.89
LE;0.95;AD;1.02;RA;0.92;LE;0.85
AL;0.93;IE;1.01;NE;0.91;DA;0.82
TI;0.92;SE;0.99;IN;0.89;IT;0.80
SE;0.85;CI;0.98;VE;0.88;HT;0.79
EA;0.84;AL;0.91;PA;0.87;EL;0.76
WA;0.84;PA;0.88;MA;0.87;LI;0.75
