THE;3.67;QUE;1.66;ENT;1.42;ICH;1.85
AND;1.70;ENT;1.38;QUE;1.07;EIN;1.55
ING;1.06;NTE;1.07;AIT;0.92;DER;1.37
HER;0.73;CON;0.85;LES;0.81;SCH;1.27
YOU;0.72;EST;0.83;LLE;0.79;DIE;1.14
VER;0.69;ADO;0.71;OUR;0.79;UND;1.00
WAS;0.66;PAR;0.69;MEN;0.75;CHE;0.99
HAT;0.58;LOS;0.67;AIS;0.66;CHT;0.95
FOR;0.56;ERA;0.64;EST;0.57;DEN;0.89
NOT;0.56;IEN;0.61;TRE;0.57;GEN;0.85
THI;0.55;MEN;0.60;MAI;0.53;INE;0.82
THA;0.54;PER;0.53;OUS;0.53;TEN;0.71
HIS;0.49;STA;0.50;PAR;0.53;UNG;0.68
ENT;0.48;ARA;0.50;ANT;0.52;HEN;0.66
ION;0.47;POR;0.47;ION;0.52;NDE;0.65
ITH;0.47;UNA;0.47;EME;0.51;LIC;0.55
ERE;0.47;ION;0.46;TAI;0.50;VER;0.53
WIT;0.46;ANT;0.45;ANS;0.50;SIE;0.53
ALL;0.45;TRA;0.45;PAS;0.48;STE;0.51
EVE;0.43;ERO;0.44;ELL;0.48;NEN;0.50
OUL;0.41;NTO;0.44;VOU;0.47;EIT;0.49
ULD;0.40;CIO;0.39;TOU;0.47;BER;0.48
TIO;0.37;ACI;0.38;POU;0.46;TER;0.45
TER;0.36;LAS;0.37;EUR;0.45;NGE;0.44
HAD;0.35;COM;0.37;ONT;0.45;DAS;0.43
HEN;0.35;STE;0.36;RES;0.45;ACH;0.42
ERA;0.33;RES;0.35;DAN;0.45;AND;0.41
ARE;0.33;IER;0.34;UNE;0.44;ERS;0.41
HIN;0.33;TEN;0.34;ÉTA;0.44;REN;0.40
OUR;0.33;DOS;0.33;IEN;0.42;ERE;0.39
SHO;0.33;DES;0.33;SUR;0.42;NIC;0.39
TED;0.32;VER;0.33;SON;0.41;IST;0.37
OME;0.31;IDO;0.30;MME;0.40;SIC;0.37
BUT;0.30;ADA;0.30;TIO;0.39;BEN;0.35
